"date","Rt_lower","Rt_upper","Rt"
2022-01-08,1.08044752264251,1.20674906107011,1.13929377267789
2022-01-07,1.12416810958549,1.24254674077817,1.18105852727328
2022-01-06,1.15049580460385,1.26418152350081,1.20620425897171
2022-01-05,1.1771363893605,1.29059865092749,1.23306980068089
2022-01-04,1.2128950785903,1.33022388059702,1.27036115580554
2022-01-03,1.26250772081532,1.38231707317073,1.32084534721529
2022-01-02,1.32255580962716,1.45674486803519,1.38784968888934
2022-01-01,1.39443961772372,1.54185022026432,1.46629894143723
2021-12-31,1.43113087184705,1.59539473684211,1.51215444348907
2021-12-30,1.41724941724942,1.58508158508159,1.500264001554
2021-12-29,1.35865921787709,1.51843575418994,1.43722845437616
2021-12-28,1.28967813540511,1.44284128745838,1.36495736588975
2021-12-27,1.25410733844469,1.39978094194962,1.32577964220518
2021-12-26,1.25412960609911,1.40660736975858,1.33013366370182
2021-12-25,1.27790785498489,1.44410876132931,1.36035912386707
2021-12-24,1.28885400313972,1.45839874411303,1.37266636316065
2021-12-23,1.26351351351351,1.4375,1.35002940315315
2021-12-22,1.21955719557196,1.40036900369004,1.30989297662977
2021-12-21,1.17254174397032,1.35064935064935,1.26048991960421
2021-12-20,1.12586206896552,1.29137931034483,1.2075477816092
2021-12-19,1.07630522088353,1.25502008032129,1.16461208835341
2021-12-18,1.04310344827586,1.22629310344828,1.13413987068966
2021-12-17,1.00587084148728,1.1761252446184,1.09059684279191
2021-12-16,0.953878406708595,1.12578616352201,1.03821446540881
2021-12-15,0.916512059369202,1.07421150278293,0.995151354359926
2021-12-14,0.894480519480519,1.03733766233766,0.964783571428571
2021-12-13,0.889078498293515,1.03754266211604,0.962911149032992
2021-12-12,0.907662082514735,1.07072691552063,0.988544780615586
2021-12-11,0.918502202643172,1.09251101321586,1.00346666666667
2021-12-10,0.899590163934426,1.06352459016393,0.981099849726776
2021-12-09,0.851351351351351,1.00772200772201,0.92873879021879
2021-12-08,0.804459691252144,0.946826758147513,0.874998479130932
2021-12-07,0.773472429210134,0.903129657228018,0.837513700943865
2021-12-06,0.761549925484352,0.889716840536513,0.825031674118232
2021-12-05,0.765289256198347,0.902479338842975,0.832741939393939
2021-12-04,0.769230769230769,0.903846153846154,0.836487521367521
2021-12-03,0.757790368271955,0.882436260623229,0.819893550519358
2021-12-02,0.736559139784946,0.85752688172043,0.79645752688172
2021-12-01,0.732545649838883,0.83780880773362,0.784782670963122
2021-11-30,0.744282744282744,0.848232848232848,0.795546881496881
2021-11-29,0.78232044198895,0.893922651933702,0.837647211786372
2021-11-28,0.826354679802956,0.947044334975369,0.886509876847291
2021-11-27,0.85006045949214,0.972188633615478,0.911000233776703
2021-11-26,0.845197740112994,0.961581920903955,0.902882011299435
2021-11-25,0.823463687150838,0.93854748603352,0.880242212290503
2021-11-24,0.807348560079444,0.913604766633565,0.860169480304535
2021-11-23,0.798917944093778,0.899909828674482,0.84926293357379
2021-11-22,0.80627802690583,0.90762331838565,0.856708807174888
2021-11-21,0.822732012513034,0.933263816475495,0.8779456725756
2021-11-20,0.837142857142857,0.943809523809524,0.889806641269841
2021-11-19,0.824311490978158,0.929724596391263,0.876527508705287
2021-11-18,0.803071364046974,0.905149051490515,0.853946787112316
2021-11-17,0.785826771653543,0.879527559055118,0.832496608923885
2021-11-16,0.784313725490196,0.868627450980392,0.826217507625272
2021-11-15,0.814321926489227,0.897972116603295,0.855859678918462
2021-11-14,0.885734072022161,0.977839335180055,0.931645166204986
2021-11-13,0.975894245723173,1.07853810264386,1.02648050285122
2021-11-12,1.05203619909502,1.1553544494721,1.10346606334842
2021-11-11,1.10104250200481,1.21090617481957,1.15560690724405
2021-11-10,1.14685908319185,1.26230899830221,1.20382267685342
2021-11-09,1.19270833333333,1.3125,1.25218045717593
2021-11-08,1.23699421965318,1.36512524084778,1.30101461785485
2021-11-07,1.273276904474,1.42200725513906,1.34715517936316
2021-11-06,1.29223181257707,1.44143033292232,1.36563995067818
2021-11-05,1.26392572944297,1.41909814323607,1.34075417329797
2021-11-04,1.22067039106145,1.37709497206704,1.29852441340782
2021-11-03,1.18546365914787,1.32957393483709,1.25748864661654
2021-11-02,1.16730038022814,1.31051964512041,1.23834193493874
2021-11-01,1.19020979020979,1.34265734265734,1.2654892027972
2021-10-31,1.22820037105751,1.40816326530612,1.31714774273346
2021-10-30,1.25420560747664,1.43738317757009,1.34497175077882
2021-10-29,1.22700587084149,1.41291585127202,1.31893681669928
2021-10-28,1.17871485943775,1.36345381526104,1.27033344042838
2021-10-27,1.13759689922481,1.31589147286822,1.22600399224806
2021-10-26,1.11829944547135,1.28835489833641,1.20194108441158
2021-10-25,1.12903225806452,1.30170777988615,1.21406580645161
2021-10-24,1.15960099750623,1.3640897755611,1.2616442726517
2021-10-23,1.2,1.416,1.30601205333333
2021-10-22,1.1929347826087,1.41032608695652,1.30070487318841
2021-10-21,1.15204678362573,1.37426900584795,1.26224900584795
2021-10-20,1.11173184357542,1.32402234636872,1.2173882122905
2021-10-19,1.07344632768362,1.28248587570621,1.1773036346516
2021-10-18,1.04970760233918,1.26023391812866,1.15417637426901
2021-10-17,1.03040540540541,1.26013513513514,1.14310763513514
2021-10-16,1.02409638554217,1.23795180722892,1.12975690763052
2021-10-15,1.00591715976331,1.21597633136095,1.10889009861933
2021-10-14,0.993333333333333,1.21666666666667,1.10472451111111
2021-10-13,1.00655737704918,1.22622950819672,1.11412924590164
2021-10-12,1.01286173633441,1.22829581993569,1.11901140407288
2021-10-11,1.01960784313725,1.23856209150327,1.12830468409586
